emoji,subcat
👩‍🦲,person
👩‍🦱,person
👩‍🦳,person
👨‍🦳,person
👨‍🦱,person
👨‍🦲,person
👨‍🦰,person
💃,person-activity
🏃,person-activity
🚶,person-activity
🕺,person-activity
🧍,person-activity
👯,person-activity
💆,person-activity
💇,person-activity
🕴️,person-activity
🧎,person-activity
🧖,person-activity
🧗,person-activity
👩‍🦯,person-activity
👨‍🦯,person-activity
👩‍🦽,person-activity
👩‍🦼,person-activity
👨‍🦽,person-activity
👨‍🦼,person-activity
🧚,person-fantasy
👼,person-fantasy
🧟,person-fantasy
🧜,person-fantasy
🦸,person-fantasy
🧙,person-fantasy
🧛,person-fantasy
🦹,person-fantasy
🧞,person-fantasy
🎅,person-fantasy
🧝,person-fantasy
🤶,person-fantasy
🤦,person-gesture
🤷,person-gesture
🙋,person-gesture
🙇,person-gesture
💁,person-gesture
🙅,person-gesture
🙆,person-gesture
🙍,person-gesture
🙎,person-gesture
🧏,person-gesture
🛌,person-resting
🧘,person-resting
🛀,person-resting
👸,person-role
👮,person-role
🤰,person-role
👰,person-role
🤴,person-role
🤱,person-role
🕵️,person-role
👷,person-role
👩‍🎓,person-role
🤵,person-role
👳,person-role
🧕,person-role
👩‍🍳,person-role
👩‍⚕️,person-role
👩‍💻,person-role
👨‍🍳,person-role
💂,person-role
👨‍🎓,person-role
👨‍💻,person-role
👩‍🏫,person-role
👨‍⚕️,person-role
👩‍🎤,person-role
👩‍🌾,person-role
👲,person-role
👨‍🌾,person-role
👨‍🏫,person-role
👩‍🔬,person-role
👩‍🎨,person-role
👩‍💼,person-role
👨‍🎤,person-role
👩‍🚀,person-role
👩‍🚒,person-role
👨‍✈️,person-role
👨‍🚀,person-role
👩‍🔧,person-role
👨‍🚒,person-role
👨‍💼,person-role
👩‍⚖️,person-role
👨‍🔬,person-role
👨‍🎨,person-role
👩‍✈️,person-role
👨‍⚖️,person-role
👨‍🔧,person-role
👩‍🏭,person-role
👨‍🏭,person-role
🤸,person-sport
🏋️,person-sport
🚴,person-sport
🏊,person-sport
🏄,person-sport
🏌️,person-sport
🤺,person-sport
🏇,person-sport
⛹️,person-sport
🚣,person-sport
⛷️,person-sport
🤼,person-sport
🚵,person-sport
🤹,person-sport
🤾,person-sport
🏂,person-sport
🤽,person-sport
🗣️,person-symbol
👣,person-symbol
👤,person-symbol
👥,person-symbol
☎️,phone
📱,phone
📲,phone
📞,phone
📠,phone
📟,phone
🏠,place-building
🏡,place-building
🏘️,place-building
💒,place-building
🏫,place-building
